filename,label,path
ScreenShot00043.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00043.jpg
ScreenShot00044.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00044.jpg
ScreenShot00045.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00045.jpg
ScreenShot00046.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00046.jpg
ScreenShot00047.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00047.jpg
ScreenShot00048.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00048.jpg
ScreenShot00049.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00049.jpg
ScreenShot00050.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00050.jpg
ScreenShot00051.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00051.jpg
ScreenShot00052.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00052.jpg
ScreenShot00053.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00053.jpg
ScreenShot00054.jpg,8,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00054.jpg
ScreenShot00055.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00055.jpg
ScreenShot00056.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00056.jpg
ScreenShot00057.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00057.jpg
ScreenShot00058.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00058.jpg
ScreenShot00059.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00059.jpg
ScreenShot00060.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00060.jpg
ScreenShot00061.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00061.jpg
ScreenShot00062.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00062.jpg
ScreenShot00063.jpg,6,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00063.jpg
ScreenShot00064.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00064.jpg
ScreenShot00065.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00065.jpg
ScreenShot00066.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03/ScreenShot00066.jpg
