filename,label,path
00110.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00110.jpg
00111.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00111.jpg
00112.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00112.jpg
00113.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00113.jpg
00114.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00114.jpg
00115.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00115.jpg
00116.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00116.jpg
00117.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00117.jpg
00118.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00118.jpg
00119.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00119.jpg
00120.jpg,8,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00120.jpg
00121.jpg,8,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00121.jpg
00122.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00122.jpg
00123.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00123.jpg
00124.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00124.jpg
00125.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00125.jpg
00126.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00126.jpg
00127.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00127.jpg
00128.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00128.jpg
00129.jpg,6,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00129.jpg
00130.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00130.jpg
00131.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00131.jpg
00132.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00132.jpg
00133.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00133.jpg
00134.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00134.jpg
00135.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00135.jpg
00136.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00136.jpg
00137.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00137.jpg
00138.jpg,6,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/06\00138.jpg
