filename,label,path
00001.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00001.jpg
00002.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00002.jpg
00003.jpg,8,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00003.jpg
00004.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00004.jpg
00005.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00005.jpg
00006.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00006.jpg
00007.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00007.jpg
00008.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00008.jpg
00009.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00009.jpg
00010.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00010.jpg
00011.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00011.jpg
00012.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00012.jpg
00013.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00013.jpg
00014.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00014.jpg
00015.jpg,6,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00015.jpg
00016.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00016.jpg
00017.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00017.jpg
00018.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00018.jpg
00019.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00019.jpg
00020.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/01\00020.jpg
