filename,label,path
00067.jpg,8,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00067.jpg
00068.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00068.jpg
00069.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00069.jpg
00070.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00070.jpg
00071.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00071.jpg
00072.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00072.jpg
00073.jpg,6,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00073.jpg
00074.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00074.jpg
00075.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00075.jpg
00076.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00076.jpg
00077.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00077.jpg
00078.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00078.jpg
00079.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00079.jpg
00080.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00080.jpg
00081.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00081.jpg
00082.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00082.jpg
00083.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00083.jpg
00084.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00084.jpg
00085.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00085.jpg
00086.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00086.jpg
00087.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00087.jpg
00088.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00088.jpg
00089.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00089.jpg
00090.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00090.jpg
00091.jpg,6,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/04\00091.jpg
